id,name,category,rarity,channel,kind,mag,pct,kind2,mag2,pct2,plugin
cq_vambrace_fragment,Vambrace Fragment,cq_slot_display,uncommon,battle,recovered_hull_max,12,0,,0,0,
cq_warlord_sidearm,Warlord's Sidearm,cq_slot_display,uncommon,battle,recovered_cr_max,12,0,,0,0,
cq_deck_mat,Woven Deck Mat,cq_slot_rug,common,market,detected_at,5,0,,0,0,
cq_kumari_rug,Kumari Silk Rug,cq_slot_rug,uncommon,scavenge,emp_taken,16,0,,0,0,
cq_insulfiber_carpet,Insulfiber Carpet,cq_slot_rug,common,market,go_dark_detect,10,0,,0,0,
cq_deck_quilt,Tarsus Deck-Quilt,cq_slot_rug,uncommon,market,corona_resist,22,0,,0,0,
cq_ash_silk_rug,Askonian Ash-Silk Rug,cq_slot_rug,rare,scavenge,corona_resist,30,0,,0,0,
cq_lume_candles,Votive Lume-Candles,cq_slot_light,common,market,sensor_range,5,0,,0,0,
cq_lumen_shard,Remnant Lumen Shard,cq_slot_light,rare,battle,sensor_range,10,0,,0,0,
cq_glowpanel,Low-Band Glowpanel,cq_slot_light,common,scavenge,fuel_use_capped,6,5,,0,0,
cq_desk_lamp,Fabrique Orbitale Desk Lamp,cq_slot_light,uncommon,market,move_slow_bonus,1,0,,0,0,
cq_signal_lamp,Hegemony Signal Lamp,cq_slot_light,uncommon,battle,recoil,8,0,,0,0,
cq_caff_urn,Caff Urn,cq_slot_galley,common,market,repair_rate,10,0,,0,0,
cq_drinks_cabinet,Faction Drinks Cabinet,cq_slot_galley,uncommon,market,max_contacts,1,0,,0,0,
cq_prize_still,Prize-Crew Still,cq_slot_galley,common,battle,own_salvage_recovery,6,0,,0,0,
cq_lobster_tank,Volturnian Lobster Tank,cq_slot_galley,rare,market,flux_capacity,4,0,,0,0,
cq_darjeeling_service,Phaged Darjeeling Service,cq_slot_galley,exceptional,scavenge,repair_rate,12,0,insta_repair,5,0,
cq_songbook_chips,Dockside Songbook Chips,cq_slot_ent,common,market,officer_xp,6,0,,0,0,
cq_strategikon,Wardroom Strategikon,cq_slot_ent,rare,scavenge,command_point_rate,20,0,,0,0,
cq_arms_catalog,Arms-Catalog Subscription,cq_slot_ent,common,market,custom_production,10,0,,0,0,
cq_holo_chess,Holo-Chess Set,cq_slot_ent,uncommon,market,command_point_rate,15,0,,0,0,
cq_muse_cabinet,Muse Cabinet,cq_slot_ent,exceptional,scavenge,officer_xp,15,0,,0,0,
cq_guard_saber,Lion's Guard Ceremonial Saber,cq_slot_wall,rare,quest,marine_casualties,10,0,,0,0,
cq_amber_motes,Motes in Amber,cq_slot_light,exceptional,quest,top_speed,7,0,,0,0,
cq_janus_casing,Janus Prototype Casing,cq_slot_display,exceptional,quest,eburn_cr_cost,45,0,,0,0,
cq_pilgrim_icon,Pilgrim's Twelve-Station Icon,cq_slot_wall,rare,quest,fuel_salvage,10,0,,0,0,
cq_bornanew_reliquary,Bornanew Reliquary,cq_slot_display,rare,quest,overload_reduction,10,0,,0,0,
cq_rao_invitation,"Rao Ball Invitation, Framed",cq_slot_wall,uncommon,quest,max_contacts,1,0,,0,0,
cq_inert_trigger,Inert Trigger Assembly,cq_slot_display,exceptional,quest,emp_taken,22,0,,0,0,
cq_kallichore_plate,Kallichore Reading-Room Plate,cq_slot_desk,uncommon,quest,move_slow_bonus,1,0,,0,0,
cq_kanta_marker,Kanta's Marker,cq_slot_display,rare,quest,eburn_cr_cost,35,0,,0,0,
cq_survey_slab,Red Planet Survey Slab,cq_slot_desk,rare,quest,flux_dissipation,4,0,,0,0,
cq_megalobster_tank,Imperial Megalobster Tank,cq_slot_pet,exceptional,unique,crew_combat_loss,15,0,noncombat_crew_loss,10,0,
cq_parade_standard,Chicomoztoc Parade Standard,cq_slot_wall,rare,unique,crew_hull_damage,20,0,,0,0,
cq_signet_case,Kazeron Gens Signet Case,cq_slot_display,rare,unique,custom_production,20,0,,0,0,
cq_neural_soother,Eochu Bres Neural Soother,cq_slot_ent,rare,unique,cr_degradation,10,0,,0,0,
cq_reliquary_lamp,Gilead Reliquary Lamp,cq_slot_light,rare,unique,detected_at,10,0,,0,0,
cq_tesseract_cluster,Tesseract Facet Cluster,cq_slot_display,exceptional,guaranteed,dmod_reduction,1,0,,0,0,
cq_chart_core,Mothership Chart Core,cq_slot_desk,exceptional,guaranteed,terrain_penalty,14,0,,0,0,
cq_nexus_shard,Nexus Command Shard,cq_slot_ent,exceptional,guaranteed,insta_repair,12,0,,0,0,
cq_sample_carousel,Lab Sample Carousel,cq_slot_display,uncommon,thematic,salvage_not_rare,15,0,,0,0,
cq_lockbox,Quartermaster's Lockbox,cq_slot_galley,uncommon,thematic,ground_support,27,0,,0,0,
cq_bookends,Core-Sample Bookends,cq_slot_desk,common,thematic,fuel_salvage,6,0,,0,0,
cq_vine_basket,Hab-Grown Vine Basket,cq_slot_plant,uncommon,thematic,go_dark_detect,15,0,,0,0,
